agency,borough,complaint_type,latitude,longitude
DEP,BRONX,Water System,40.879228024835,-73.87235263653268
NYPD,QUEENS,Illegal Parking,40.771906413667075,-73.92495894766198
DOHMH,BROOKLYN,Food Establishment,40.635773540237906,-73.96279201430998
EDC,BROOKLYN,Noise - Helicopter,40.72701297390217,-73.94953971342869
TLC,QUEENS,For Hire Vehicle Complaint,40.771906413667075,-73.92495894766198
NYPD,MANHATTAN,Noise - Residential,40.71157103533941,-73.9999026088922
DPR,QUEENS,New Tree Request,40.702246253514026,-73.91184811493231
DOHMH,BROOKLYN,Rodent,40.67705801827717,-73.9090044485948
NYPD,QUEENS,Blocked Driveway,40.746604086311066,-73.9474461047306
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.76345434714735,-73.98691054636014
NYPD,BRONX,Noise - Residential,40.88639748222129,-73.84565582828421
NYPD,QUEENS,Noise - Residential,40.75598051787552,-73.88143206047911
NYPD,BRONX,Noise - Street/Sidewalk,40.85878496025863,-73.86464117079309
NYPD,QUEENS,Noise - Residential,40.72200503382978,-73.90401864439592
DEP,BROOKLYN,Noise,40.71218658123357,-73.93978287793131
NYPD,BROOKLYN,Illegal Parking,40.67705801827717,-73.9090044485948
DPR,STATEN ISLAND,New Tree Request,40.62859060798984,-74.07590304571676
DEP,BROOKLYN,Noise,40.678452509115615,-73.94938177109837
DOHMH,BROOKLYN,Food Establishment,40.635773540237906,-73.96279201430998
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.694131631092894,-73.9069797409065
NYPD,MANHATTAN,Noise - Commercial,40.8388111804014,-73.93767696356736
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.80395830422113,-73.95429990412453
NYPD,QUEENS,Illegal Parking,40.771037378334455,-73.92658456201598
DOHMH,BROOKLYN,Rodent,40.67520166306471,-73.8732586726434
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.7969168776428,-73.93974235094362
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.7643328827882,-73.98899691646045
NYPD,BRONX,Blocked Driveway,40.890814385061276,-73.8568468312867
NYPD,MANHATTAN,Noise - Commercial,40.71757069164552,-73.9905053159014
DOT,BROOKLYN,Street Condition,40.69056608854128,-73.94534834332518
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.75615648393725,-73.99123976187973
NYPD,BROOKLYN,Noise - Vehicle,40.691096685965036,-73.94718334772101
NYPD,QUEENS,Noise - Street/Sidewalk,40.58070893437326,-73.83406462039976
NYPD,BRONX,Noise - Street/Sidewalk,40.836661983449346,-73.92381620508199
NYPD,QUEENS,Blocked Driveway,40.744636490688045,-73.85725836940502
DOB,BRONX,Building/Use,40.84133101344021,-73.87153266612249
DOT,BROOKLYN,Street Condition,40.70784808967363,-73.92722404224119
DOT,BROOKLYN,Street Condition,40.70644526205035,-73.92682521873122
NYPD,QUEENS,Noise - Vehicle,40.76040082914066,-73.8651190585112
NYPD,QUEENS,Blocked Driveway,40.721601417619254,-73.74906797466812
NYPD,QUEENS,Blocked Driveway,40.67517732993093,-73.7923058300139
NYPD,BRONX,Noise - Street/Sidewalk,40.836864989190026,-73.92366057609894
DEP,QUEENS,Sewer,40.7474816070904,-73.85629949017752
NYPD,QUEENS,Blocked Driveway,40.738700490041715,-73.8579891881414
NYPD,BRONX,Noise - Residential,40.89577763282363,-73.84476594826783
NYPD,STATEN ISLAND,Noise - Street/Sidewalk,40.595968552236215,-74.08019056514509
DOB,BROOKLYN,General Construction/Plumbing,40.67520166306471,-73.8732586726434
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.764121923319095,-73.99432519930956
DOHMH,STATEN ISLAND,Rodent,40.606123755655645,-74.14296047800552
NYPD,MANHATTAN,Noise - Residential,40.72426204542754,-73.98677393357275
NYPD,MANHATTAN,Noise - Residential,40.847546472268675,-73.93564830036111
DOT,BROOKLYN,Sidewalk Condition,40.71559312574996,-73.92614782568417
DOT,BROOKLYN,Sidewalk Condition,40.716233771088255,-73.92365084226584
NYPD,QUEENS,Noise - Vehicle,40.73325657536663,-73.88399105737007
NYPD,QUEENS,Homeless Encampment,40.75518223280871,-73.9242558999381
DOT,BROOKLYN,Street Condition,40.71559312574996,-73.92614782568417
DOT,BROOKLYN,Street Condition,40.716233771088255,-73.92365084226584
DEP,MANHATTAN,Noise,40.74431951197647,-73.97878717291839
DPR,QUEENS,Overgrown Tree/Branches,40.672391658740615,-73.81160469044812
DHS,MANHATTAN,Homeless Person Assistance,40.83729187572117,-73.94006355766699
NYPD,MANHATTAN,Noise - Residential,40.86548214822022,-73.92087638455081
NYPD,BRONX,Noise - Vehicle,40.8191948092299,-73.84676189059216
NYPD,BROOKLYN,Illegal Parking,40.65669223671254,-73.95692006228899
DOT,BROOKLYN,Street Sign - Missing,40.71472245487725,-73.92960092849117
NYPD,BROOKLYN,Abandoned Vehicle,40.60687609939981,-73.94794865282867
DOT,BROOKLYN,Street Condition,40.71642268600797,-73.92293997948609
DOHMH,BROOKLYN,Rodent,40.71298438069451,-73.96378416727651
TLC,QUEENS,Lost Property,40.64832048620134,-73.78828125130184
DOT,BROOKLYN,Street Condition,40.71593813920296,-73.92487045363625
DOT,BROOKLYN,Sidewalk Condition,40.71593813920296,-73.92487045363625
DEP,MANHATTAN,Noise,40.86339712957511,-73.92646452590175
DOT,BROOKLYN,Curb Condition,40.71593813920296,-73.92487045363625
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.73395179144283,-74.00055206830956
DEP,BROOKLYN,Water System,40.67603489389844,-73.89378126083778
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.73691557639569,-73.98874524409148
NYPD,BROOKLYN,Illegal Parking,40.63539528966896,-74.00029544276569
NYPD,BROOKLYN,Illegal Parking,40.619659366073044,-74.00321308315766
NYPD,BROOKLYN,Illegal Parking,40.616790467022376,-73.98790823250063
NYPD,QUEENS,Noise - Residential,40.75462830322828,-73.91702687937605
NYPD,BROOKLYN,Noise - Residential,40.6939671536727,-73.98020958205214
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.74830546469582,-73.9821928630847
NYPD,BRONX,Blocked Driveway,40.86436232753992,-73.90292380309991
NYPD,MANHATTAN,Noise - Residential,40.81021106498936,-73.93736778909593
NYPD,QUEENS,Blocked Driveway,40.72253194385566,-73.74783425004719
NYPD,BRONX,Blocked Driveway,40.835822082553115,-73.90867166332256
NYPD,BROOKLYN,Noise - Vehicle,40.691096685965036,-73.94718334772101
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.721222541429455,-73.97954851296713
NYPD,BRONX,Blocked Driveway,40.829215264260114,-73.90164171601232
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.749577620043375,-73.99698276233389
NYPD,BROOKLYN,Blocked Driveway,40.661089850822904,-73.92147205168095
DOHMH,BROOKLYN,Rodent,40.7155358170716,-73.96017548796412
NYPD,BRONX,Noise - Residential,40.84242727077653,-73.89729962739052
DEP,MANHATTAN,Noise,40.755154978098176,-73.99874391552287
NYPD,QUEENS,Illegal Parking,40.68500350635057,-73.85488009684605
NYPD,QUEENS,Illegal Parking,40.73854922611554,-73.8294495333703
DEP,MANHATTAN,Noise,40.75509984843068,-73.99253929750424
NYPD,BRONX,Illegal Parking,40.822224823161335,-73.85082685588175
NYPD,QUEENS,Noise - Vehicle,40.76747133954224,-73.92561737424005
NYPD,BROOKLYN,Blocked Driveway,40.59461400117048,-73.97912279279439
DEP,MANHATTAN,Noise,40.75184975537184,-73.98869219131838
NYPD,MANHATTAN,Noise - Residential,40.72426204542754,-73.98677393357275
DEP,BRONX,Sewer,40.826525980067224,-73.81841660792959
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.742439996384604,-73.98259500195721
NYPD,BROOKLYN,Noise - Residential,40.646620571732214,-74.0143205742149
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.72501024136251,-73.97917935441588
NYPD,STATEN ISLAND,Noise - Residential,40.63407094680148,-74.11647783461505
NYPD,BROOKLYN,Noise - Residential,40.60786579085453,-73.97862884813652
NYPD,BROOKLYN,Noise - Residential,40.67733945566432,-73.90740694833428
DOHMH,BROOKLYN,Rodent,40.69936777797997,-73.91287975057405
DEP,BRONX,Water System,40.83511769812397,-73.90995190771635
NYPD,QUEENS,Illegal Parking,40.715223228514475,-73.90462000397277
NYPD,QUEENS,Illegal Parking,40.73586528219185,-73.80875500709244
NYPD,QUEENS,Illegal Parking,40.69981954120526,-73.85252529387209
NYPD,BROOKLYN,Blocked Driveway,40.67586868526424,-73.93155267057506
DEP,BROOKLYN,Noise,40.6924094788829,-73.99105341116656
NYPD,BROOKLYN,Non-Emergency Police Matter,40.60786579085453,-73.97862884813652
NYPD,BROOKLYN,Blocked Driveway,40.66026571374365,-73.9245222640718
NYPD,QUEENS,Blocked Driveway,40.7524525721584,-73.87533863099311
NYPD,BROOKLYN,Illegal Parking,40.66366373298107,-73.9957827496905
NYPD,QUEENS,Blocked Driveway,40.71425357739006,-73.81243506999319
DEP,MANHATTAN,Noise,40.77592877982615,-73.94712328475721
NYPD,BRONX,Blocked Driveway,40.890814385061276,-73.8568468312867
DEP,BROOKLYN,Water System,40.61034617498576,-73.99407895538494
NYPD,QUEENS,Illegal Parking,40.73854922611554,-73.8294495333703
DOT,STATEN ISLAND,Traffic Signal Condition,40.64732602010663,-74.0806811197777
DOT,BROOKLYN,Street Condition,40.715589648956055,-73.93397927066563
NYPD,STATEN ISLAND,Noise - Street/Sidewalk,40.61246634479186,-74.08187077813841
DOT,BROOKLYN,Street Condition,40.71642212878075,-73.93069937247456
DOT,BROOKLYN,Street Condition,40.71720947068903,-73.93470275037575
NYPD,BROOKLYN,Noise - Residential,40.66090507892408,-73.94922207805784
NYPD,QUEENS,Blocked Driveway,40.781452763450346,-73.84323788014228
DPR,QUEENS,New Tree Request,40.77690519855955,-73.9069832648953
NYPD,BROOKLYN,Noise - House of Worship,40.67818290116885,-73.86400186807866
NYPD,QUEENS,Blocked Driveway,40.782437880471775,-73.77653815218919
NYPD,MANHATTAN,Noise - Vehicle,40.7072940597528,-74.01209014995464
NYPD,MANHATTAN,Noise - Residential,40.72825694166462,-73.97734187751063
DEP,QUEENS,Sewer,40.57890383720071,-73.83666824693822
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.683242484953354,-73.95697862665705
NYPD,QUEENS,Blocked Driveway,40.702285428874696,-73.90586114431271
NYPD,BROOKLYN,Illegal Parking,40.67852724338575,-73.95082383092726
DEP,BROOKLYN,Water System,40.68682496756975,-73.87501781722061
DOT,BRONX,Street Condition,40.858809848306564,-73.90974630644877
NYPD,BRONX,Noise - Vehicle,40.83054078724149,-73.86604286404084
NYPD,BROOKLYN,Blocked Driveway,40.663206747043965,-73.92246078722305
DEP,BROOKLYN,Water System,40.659535136207104,-73.94855272756097
NYPD,BROOKLYN,Blocked Driveway,40.70408326683393,-73.92881508887855
DOT,STATEN ISLAND,Traffic Signal Condition,40.58903625120133,-74.08987828222318
NYPD,QUEENS,Blocked Driveway,40.75907271276115,-73.94025667074844
NYPD,QUEENS,Blocked Driveway,40.68355695638807,-73.79220040828483
NYPD,QUEENS,Illegal Parking,40.75907271276115,-73.94025667074844
DHS,BROOKLYN,Homeless Person Assistance,40.69245883961735,-73.99049086165871
DEP,MANHATTAN,Noise,40.7072940597528,-74.01209014995464
NYPD,BROOKLYN,Illegal Parking,40.63134908339054,-73.99053919919491
NYPD,BROOKLYN,Noise - Residential,40.58665666462697,-73.94526416355156
NYPD,BRONX,Noise - Residential,40.83077405345615,-73.92303158117505
NYPD,QUEENS,Blocked Driveway,40.69371476907037,-73.80600183209408
NYPD,QUEENS,Blocked Driveway,40.753233547941406,-73.93819014941748
NYPD,BROOKLYN,Illegal Parking,40.61430926738149,-74.01116925149776
NYPD,QUEENS,Blocked Driveway,40.789218064544905,-73.84559582532104
NYPD,BRONX,Noise - Commercial,40.86010815786796,-73.89371141442312
NYPD,BROOKLYN,Illegal Parking,40.66366373298107,-73.9957827496905
NYPD,QUEENS,Non-Emergency Police Matter,40.73009934988612,-73.81090754397326
NYPD,QUEENS,Non-Emergency Police Matter,40.71871595041182,-73.80382951018838
NYPD,QUEENS,Noise - Residential,40.742291413666955,-73.95935835443481
EDC,BROOKLYN,Noise - Helicopter,40.726881181294885,-73.94943879181595
NYPD,QUEENS,Non-Emergency Police Matter,40.7203282695909,-73.80776061338688
DSNY,QUEENS,Derelict Vehicles,40.725157341075956,-73.90561958222486
DOHMH,BROOKLYN,Rodent,40.68432753730798,-73.91073603654023
DEP,QUEENS,Water System,40.75276753759904,-73.80878227767192
DOHMH,BROOKLYN,Rodent,40.68400663650966,-73.91104294116015
NYPD,BRONX,Illegal Parking,40.84142333828031,-73.92273735872621
DOB,BROOKLYN,Electrical,40.60452181778648,-73.99647793403054
NYPD,BROOKLYN,Noise - Vehicle,40.636117843620475,-73.97818023438673
NYPD,BRONX,Blocked Driveway,40.83178718526965,-73.88135117403841
NYPD,BRONX,Blocked Driveway,40.86436232753992,-73.90292380309991
DPR,MANHATTAN,New Tree Request,40.75986286444577,-73.96658145887697
DEP,STATEN ISLAND,Sewer,40.63681841381194,-74.15793922974852
NYPD,BROOKLYN,Noise - Residential,40.65129753141765,-73.96123731794158
DOB,BROOKLYN,Electrical,40.604642595751464,-73.99671201222166
NYPD,QUEENS,Blocked Driveway,40.76176279843718,-73.91450557229443
NYPD,QUEENS,Blocked Driveway,40.72931503599089,-73.90487404529748
DEP,MANHATTAN,Noise,40.71914929054081,-73.99739539351272
DPR,BROOKLYN,Damaged Tree,40.596200126441246,-73.95778368426558
